Rank,Player,Player.1,Best achievements,Points,#,Games,100%,All,Badges,XP,Member since,Hours,Last update
1,The Stranger,The Stranger,First Blood - Part Two  Rambo III  Excessive force  Bolt-action  1.21 Gigawatts  It Fausts Panzers  Sci-fi deathrays  Flak you,126734.47,149789,16256,4322,20808,4909,3086878,04/15/2011,68006.9,02/26/2022 00:51:18
2,lylat,lylat,"Arid Finale  CAR vs. Car  Lock, Stock And Barrel  Beyond the Sea  Honorary Benson  A New Day  Melon Felon  Shoot for the Moon",114598.04,137734,17202,5718,26428,194,295930,06/03/2009,53803.9,02/22/2022 12:08:07
3,hannez,hannez,EP1: Communiqué  EP2: Communiqué  EP2: Data Collector  EP2: Voyeur  EP3: Communiqué  EP5: Communiqué  EP5: Contraband  Zijin Shan,90395.42,94543,12977,3828,23006,2008,791705,06/23/2010,27948.5,02/26/2022 21:38:53
4,Skaery,Skaery,Paddy Locky Fulfillment  World of Easy Goo  World of Okay Goo  World of Challenging Goo  World of Impossible Goo  You've Been Slimed  Hat Trick!  Impossible - Hit all targets,85915.03,94918,10195,2100,13143,644,198801,06/08/2004,88054.4,02/22/2022 12:03:24
5,marklar,marklar,Tracked Gold  Sitting Duck Gold  Riding Shotgun Platinum  Transport Hunter Gold  Camper Van  S&D Cool Under Pressure Gold  S&D Bomberman Gold  First Pass,81993.24,84147,11711,3956,No games available,1212,378057,05/01/2008,57020.6,02/26/2022 00:39:03
6,DDtective,DDtective,"Full house  Double down  Weapons free  Queen of hearts  King of Diamonds  Arid Finale  Lock, Stock And Barrel  Honorary Benson",81786.19,96762,11312,3422,18409,194,59918,09/01/2005,12905.7,03/01/2022 20:30:47
7,AFAK,AFAK,Research and Development 4  A Perfect World - Intercept 2  No Mercy 11  Knowledge is Power 5  Spoils of War 3  The Best Meet the Rest  Knowledge is Power 4  Research and Development 3,66050.1,75310,14311,3323,24030,457,160215,09/19/2014,33134.3,02/21/2022 23:07:04
8,Gajusz,Gajusz,Kills  Christmas 2021 Complete!  Unique Castle Complete!  Unique Face Complete!  The Scintillating Flame  The Ravenous Maw  The Unearthly Devourer  The Star-Strewn Abyss,60859.08,73891,3960,1077,5360,662,139628,08/19/2009,42913.2,02/21/2022 18:21:07
9,twitch.tv/Hikikomori523,twitch.tv/Hikikomori523,World Fights Back - Infiltration 3  A Perfect World - Infiltration 1  World Fights Back - Blockade 1  Explore the World - Infiltration 3  Explore the World - Blockade 1  Research and Development 1  World Fights Back - Infiltration 3  Serene Magnate,54159.18,72452,13066,1731,16104,236,75148,02/05/2005,20498.7,02/26/2022 21:31:56
10,[coatl] master.chief,[coatl] master.chief,Keeper of Eden  Keeper of Eden  Tracked Gold  Sitting Duck Gold  Riding Shotgun Platinum  Transport Hunter Gold  Camper Van  S&D Cool Under Pressure Gold,51597.23,58991,7133,1320,10822,724,124230,01/23/2008,75281.3,04/01/2022 16:53:27
